"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista COFFEE HUNTER Słodki Drań 250g","Średnio palona mieszanka arabiki z Brazylii, Kolumbii i Etiopii przeznaczona do przygotowania espresso. Coffee Hunter Słodki Drań posiada przyjemny smak z nutami suszonych owoców, orzechów, czekolady i brzoskwiń.",36.99,"COFFEE HUNTER",4.67,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Suszone owoce Brzoskwinie Orzechy",0.6,0.2,0.2,1," Brazylia Kolumbia Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.14796,"Premium (0.1 - 0.2)",8.08867727134666
"Kawa ziarnista COFFEE HUNTER Słodki Drań 1kg","Średnio palona mieszanka arabiki z Brazylii, Kolumbii i Etiopii przeznaczona do przygotowania espresso. Coffee Hunter Słodki Drań posiada przyjemny smak z nutami suszonych owoców, orzechów, czekolady i brzoskwiń.",119.99,"COFFEE HUNTER",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Suszone owoce Brzoskwinie Orzechy",0.6,0.2,0.2,1," Brazylia Kolumbia Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.11999,"Premium (0.1 - 0.2)",10
"Kawa ziarnista COFFEE HUNTER Polo Kotka 250g","Średnio palona mieszanka arabiki i robusty przeznaczona do przygotowania w ekspresach ciśnieniowych. Polo Kotka posiada intensywny smak ze słodką nutą orzechów i czekolady.",34.99,"COFFEE HUNTER",5,2," 60% Arabika, 40% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Orzechy",1,0.2,0.2,1," Nikaragua Kostaryka Salwador Peru Indie Kamerun"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE HUNTER Kuba Serrano Superior 1kg","Średnio palona arabika Single Origin z Kuby przeznaczona do przelewowych i ciśnieniowych metod parzenia. Coffee Hunter Kuba Serrano posiada słodki smak z nutami przypraw, orzechów i karmelu.",144.99,"COFFEE HUNTER",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Przyprawy Karmel Orzechy",0.6,0.2,0.6,1," Kuba"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.14499,"Premium (0.1 - 0.2)",5
"Kawa ziarnista COFFEE HUNTER Crema Blend 250g","Średnio palona mieszanka arabiki z Peru, Brazylii i Hondurasu przeznaczona do espresso. Coffee Hunter Crema Blend posiada słodki smak z nutami czekolady, orzechów i czerwonych owoców",36.99,"COFFEE HUNTER",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Czerwone owoce Czekolada",0.6,0.2,0.2,1," Brazylia Peru Honduras"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.14796,"Premium (0.1 - 0.2)",8.66025403784439
"Kawa ziarnista COFFEE HUNTER Crema Blend 1kg","Średnio palona mieszanka arabiki z Peru, Brazylii i Hondurasu przeznaczona do espresso. Coffee Hunter Crema Blend posiada słodki smak z nutami czekolady, orzechów i czerwonych owoców",119.99,"COFFEE HUNTER",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Czerwone owoce Czekolada",0.6,0.2,0.2,1," Brazylia Peru Honduras"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.11999,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE HUNTER Espresso Supreme 250g","Średnio palona mieszanka arabiki z Ameryki Środkowej i Południowej oraz robusty z Gwatemali przeznaczona do espresso. Coffee Hunter Espresso Supreme to klasyczna kawa do espresso z nutami orzechów, czekolady i kakao.",34.99,"COFFEE HUNTER",5,2," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Kakao Orzechy Czekolada",0.6,0.2,0.2,1," Ameryka Środkowa Ameryka Południowa Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE HUNTER Espresso Supreme 1kg","Średnio palona mieszanka arabiki z Ameryki Środkowej i Południowej oraz robusty z Gwatemali przeznaczona do espresso. Coffee Hunter Espresso Supreme to klasyczna kawa do espresso z nutami orzechów, czekolady i kakao.",118.99,"COFFEE HUNTER",0,0," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Kakao Orzechy Czekolada",0.6,0.2,0.2,1," Ameryka Środkowa Ameryka Południowa Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.11899,"Premium (0.1 - 0.2)",0
"Kawa ziarnista COFFEE HUNTER Kostaryka Tarazzu 250g","Średnio palona kostarykańska arabika Single Origin przeznaczona do ciśnieniowych i przelewowych metod parzenia. Coffee Hunter Kostaryka tarrazu posiada słodki smak z nutami orzechów, rumu i jagód.",38.99,"COFFEE HUNTER",4.5,6," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Rum Jagody Orzechy",0.6,0.2,0.6,1," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.15596,"Premium (0.1 - 0.2)",11.0227038425243
"Kawa ziarnista COFFEE HUNTER Kostaryka Tarazzu 1kg","Średnio palona kostarykańska arabika Single Origin przeznaczona do ciśnieniowych i przelewowych metod parzenia. Coffee Hunter Kostaryka tarrazu posiada słodki smak z nutami orzechów, rumu i jagód.",129.99,"COFFEE HUNTER",4,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Orzechy Rum Jagody",0.6,0.2,0.6,1," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.12999,"Premium (0.1 - 0.2)",4
"Kawa ziarnista COFFEE HUNTER Salwador la Mayada 250g","Średnio palona arabika Single Origin z Salwadoru przeznaczona do ciśnieniowych i przelewowych metod parzenia. Coffee Hunter Salwador la Mayada posiada słodki smak z nutami mlecznej czekolady, orzechów, cynamonu i wanilii.",34.99,"COFFEE HUNTER",4.71,21," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Mleczna czekolada Cynamon Wanilia Orzechy",0.6,0.2,0.2,1," Salwador"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",21.583931523242
"Kawa ziarnista COFFEE HUNTER Salwador la Mayada 1kg","Średnio palona arabika Single Origin z Salwadoru przeznaczona do ciśnieniowych i przelewowych metod parzenia. Coffee Hunter Salwador la Mayada posiada słodki smak z nutami mlecznej czekolady, orzechów, cynamonu i wanilii.",118.99,"COFFEE HUNTER",5,5," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Orzechy Mleczna czekolada Cynamon Wanilia",0.6,0.2,0.2,1," Salwador"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.11899,"Premium (0.1 - 0.2)",11.1803398874989
"Kawa ziarnista COFFEE HUNTER Kuba Serrano Superior 250g","Średnio palona arabika Single Origin z Kuby przeznaczona do przelewowych i ciśnieniowych metod parzenia. Coffee Hunter Kuba Serrano posiada słodki smak z nutami przypraw, orzechów i karmelu.",42.99,"COFFEE HUNTER",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Przyprawy Karmel Orzechy",0.6,0.2,0.6,1," Kuba"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.17196,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE HUNTER Brazylia Santos Fazenda Paraiso 250g","Średnio palona brazylijska arabika jakości specialty przeznaczona do przelewowych i ciśnieniowych metod parzenia. Coffee Hunter Brazylia Santos posiada słodki smak z nutami orzechów, czekolady, karmelu i cytrusów.",32.99,"COFFEE HUNTER",4.79,19," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Karmel Czekolada Owoce cytrusowe Orzechy",0.6,0.2,0.6,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.13196,"Premium (0.1 - 0.2)",20.8791259395598
"Kawa ziarnista COFFEE HUNTER Brazylia Santos Fazenda Paraiso 1kg","Średnio palona brazylijska arabika jakości specialty przeznaczona do przelewowych i ciśnieniowych metod parzenia. Coffee Hunter Brazylia Santos posiada słodki smak z nutami orzechów, czekolady, karmelu i cytrusów.",109.99,"COFFEE HUNTER",4.89,9," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Karmel Czekolada Owoce cytrusowe Orzechy",0.6,0.2,0.6,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1000,0.10999,"Premium (0.1 - 0.2)",14.67
"Kawa ziarnista HAYB Sie Przelewa Tropik 250g","Jasno palona kolumbijska arabika przeznaczona do przelewowych metod parzenia. HAYBY Sie Przelewa Tropik posiada słodki smak z nutami owoców tropikalnych, rumu i karmelu.",49,"HAYB SPECIALITY COFFEE",4.72,43," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Owoce tropikalne Rum Karmel",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna",NA,250,0.196,"Premium (0.1 - 0.2)",30.9511098347054
"Kawa ziarnista La Paloma Blend Brasil/Guatemala 250g","Średnio palona mieszanka brazylijskiej i gwatemalskiej arabiki przeznaczona do ciśnieniowych metod parzenia. La Paloma Blend posiada naturalnie słodki smak z nutą orzechów włoskich, wafelków czekoladowych oraz wędzonej śliwki.",43,"PALOMA",4.67,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Wafelek czekoladowy Wędzona śliwka",0.6,0.2,0.2,1," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.172,"Premium (0.1 - 0.2)",8.08867727134666
"Kawa ziarnista Italcaffe Monorigine Colombia 250g","Jasno palona kolumbijska arabika przeznaczona do przygotowania espresso z ekspresu ciśnieniowego. Italcaffe Monorigine Colombia posiada wykwintny smak z nutami śliwek i suszonych daktyli.",32.99,"ITALCAFFE",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta"," Owoce cytrusowe Śliwka Daktyle",1,0.2,0.6,0.6," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.13196,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Italcaffe Monorigine Costarica 250g","Jasno palona kostarykańska arabika przeznaczona do przygotowania espresso z ekspresów ciśnieniowych. Italcaffe Monorigine Costarica posiada bogaty smak z wyczuwalnymi nutami cytrusów, kakao i przypraw.",36.99,"ITALCAFFE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta"," Owoce cytrusowe Kakao Przyprawy",1,0.2,0.6,0.6," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.14796,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Italcaffe Monorigine Brasile 250g","Jasno palona brazylijska arabika przeznaczona do ciśnieniowych metod parzenia. Italcaffe Monorigine Brasile posiada zrównoważony smak z wyczuwalną nutą czekolady i prażonych orzechów.",29.99,"ITALCAFFE",4.67,12," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta"," Prażone orzechy Czekolada Kakao",1,0.2,1,0.6," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.11996,"Premium (0.1 - 0.2)",16.1773545426933
"Kawa ziarnista Italcaffe Espresso Italiano Royal Bar 1kg","Średnio palona mieszanka przeznaczona do ekspresów kolbowych i automatycznych. Italcaffe Royal Bar posiada przyjemny smak z wyczuwalną wyraźną owocową nutą.",114.99,"ITALCAFFE",5,2," 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,0.6,1,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.11499,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Italcaffe Espresso Italiano Excelso Bar 1kg","Średnio palona mieszanka stworzona z myślą o przygotowaniu idealnego, włoskiego espresso. Italcaffe Excelso Bar posiada delikatnie kwaskowy smak z nutami suszonych owoców i przypraw.",114.99,"ITALCAFFE",5,4," 90% Arabika, 10% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,0.6,1,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.11499,"Premium (0.1 - 0.2)",10
"Kawa ziarnista Italcaffe Espresso Italiano Dolce Crema 1kg","Średnio palona mieszanka arabiki i robusty, która jest przeznaczona do przygotowania włoskiego espresso. Italcaffe Dolce Crema posiada intensywny smak i delikatny aromat szlachetnego drewna.",84.99,"ITALCAFFE",4.57,7," 50% Arabika, 50% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,0.2,0.6," Brazylia Afryka Azja"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.08499,"Mid-range (0.05 - 0.1)",12.0910834915652
"Kawa ziarnista Italcaffe Espresso Italiano Gusto e Aroma 1kg","Średnio palona mieszanka, która jest przeznaczona do przygotowania espresso z ekspresu ciśnieniowego. Italcaffe Gusto e Aroma posiada wyrazisty smak i intensywny aromat.",89.99,"ITALCAFFE",5,13," 60% Arabika, 40% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,1,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.08999,"Mid-range (0.05 - 0.1)",18.0277563773199
"Kawa ziarnista Italcaffe Espresso Italiano Espresso 100% Arabica 1kg","Średnio palona mieszanka wysokiej jakości ziaren arabiki, która jest przeznaczona do ekspresów ciśnieniowych. Italcaffe 100% Arabica posiada delikatny, lekko kwaskowy smak z wyczuwalną owocową słodyczą.",99.99,"ITALCAFFE",5,5," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,0.6,0.2,0.6,1,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.09999,"Mid-range (0.05 - 0.1)",11.1803398874989
"Kawa ziarnista Italcaffe Espresso Italiano Prestige Bar 1kg","Średnio palona mieszanka wysokiej jakości ziaren, która jest przeznaczona do ekspresów ciśnieniowych. Italcaffe Prestige Bar posiada intensywny i wyrafinowany smak z wyraźną nutą czekolady.",107.99,"ITALCAFFE",5,3," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta",NA,1,0.2,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.10799,"Premium (0.1 - 0.2)",8.66025403784439
"Kawa ziarnista Italcaffe Espresso Italiano Aroma Espresso 1kg","Średnio palona mieszanka arabiki i robusty w proporcjach 20/80 przeznaczona do ekspresów ciśnieniowych. Italcaffe Espresso Italiano Aroma Espresso posiada bardzo intensywny smak pozbawiony kwasowości.",67.99,"ITALCAFFE",4.95,43," 20% Arabika, 80% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała",NA,1,1,0.2,1,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.06799,"Mid-range (0.05 - 0.1)",32.4593206952949
"Kawa ziarnista Italcaffe Espresso Italiano Aroma Bar 1kg","Średnio palona mieszanka arabiki i robusty w proporcjach 30/70 przeznaczona do ekspresów ciśnieniowych. Italcaffe Espresso Italiano Aroma Bar posiada intensywny smak z delikatną nutą czekolady.",74.99,"ITALCAFFE",5,4," 30% Arabika, 70% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała",NA,1,1,0.2,0.2,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.07499,"Mid-range (0.05 - 0.1)",10
"Kawa ziarnista Tchibo Exclusive Medium Roast 1kg","Średnio palona mieszanka arabiki i robusty, która jest przeznaczona do ciśnieniowych metod parzenia. Tchibo Exclusive Medium Roast posiada intensywny smak z wyczuwalną nutą czekolady.",49.99,"TCHIBO",4.89,38," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Gęsta"," Czekolada",1,0.6,0.2,0.6,NA,NA," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.04999,"Budget (< 0.05)",30.1439844745183
"Kawa ziarnista Paloma Kolumbia Golden Huila 250g","Średnio palona kolumbijska arabika przeznaczona do przygotowania espresso w ekspresach ciśnieniowych. Paloma Kolumbia Golden Huila posiada słodki smak z nutami ciemnej czekolady, cytryny i cukru trzcinowego.",40,"PALOMA",4.25,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Cukier trzcinowy Cytryna Ciemna czekolada",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.16,"Premium (0.1 - 0.2)",8.5
"Kawa ziarnista Paloma Kenia Matunda 1kg","Jasno palona kenijska arabika Single Origin przeznaczona do przelewowych metod parzenia. Paloma Kenia Matunda posiada rześki smak o wysokiej kwasowości oraz słodyczy. Kawa w teście jakości SCA uzyskała 85 pkt.",204,"PALOMA",4.6,20," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 1000g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Karmel Czekolada Cytryna",0.6,0.2,1,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",1000,0.204,"Luxury (> 0.2)",20.5718253929981
"Kawa ziarnista Paloma Indonezja Symphalangus 1kg","Indonezyjska arabika omniroast, która jest polecana do ciśnieniowych i przelewowych metod parzenia. Paloma Indonezja Symphalangus posiada intensywny smak z nutami tytoniu, białej czekolady i cytryny.",146,"PALOMA",4.6,5," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego"," 1000g"," Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy"," Trwała"," Liść tytoniu Biała czekolada Cytryna",0.6,0.2,0.6,1," Indonezja"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",1000,0.146,"Premium (0.1 - 0.2)",10.285912696499
"Kawa ziarnista Paloma Kenia Matunda 250g","Jasno palona kenijska arabika Single Origin przeznaczona do przelewowych metod parzenia. Paloma Kenia Matunda posiada rześki smak o wysokiej kwasowości oraz słodyczy.",60,"PALOMA",5,16," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Cytryna Czekolada Karmel",0.6,0.2,1,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.24,"Luxury (> 0.2)",20
"Kawa ziarnista Bracia Ziółkowscy Ciemny Wypał 250g","Ciemno palona mieszanka arabiki z Kolumbii oraz Indii przeznaczona do ciśnieniowych metod parzenia. Bracia Ziółkowscy Ciemny Wypał posiada naturalnie słodki smak z nutami czekolady, kakao i orzechów.",38,"BRACIA ZIÓŁKOWSCY",0,0," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Kakao Czekolada",1,0.6,0.2,1," Kolumbia Indie"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",250,0.152,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Bracia Ziółkowscy Ciemny Wypał 1kg","Ciemno palona mieszanka arabiki z Kolumbii oraz Indii przeznaczona do ciśnieniowych metod parzenia. Bracia Ziółkowscy Ciemny Wypał posiada naturalnie słodki smak z nutami czekolady, kakao i orzechów.",145,"BRACIA ZIÓŁKOWSCY",5,2," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Kakao Czekolada",1,0.6,0.2,1," Kolumbia Indie"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.145,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE PLANT Smooth Sweet Espresso 250g","Średnio palona arabika jakości specialty z Brazylii przeznaczona do ciśnieniowych metod parzenia. COFFEE PLANT Sweet and Smooth Espresso posiada wyjątkowo słodki smak i syropowe body.",52,"COFFEE PLANT",5,7," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Truskawki Róża Mleczna czekolada Karmel",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.208,"Luxury (> 0.2)",13.228756555323
"Kawa ziarnista COFFEE PLANT Chocolate Bomb 250g","Średnio palona brazylijska mieszanka dwóch arabik jakości specialty przeznaczona do przygotowania espresso. COFFEE PLANT Chocolate Bomb. Chocolate Bomb to kawa o słodkim smaku z wyczuwalną nutą czekolady mlecznej, kakao, rodzynek i orzechów.",46,"COFFEE PLANT",4.74,27," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Kakao Rodzynki Orzechy",0.6,0.2,0.2,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.184,"Premium (0.1 - 0.2)",24.6297624836294
